"","PTT.BK","KTC.BK","CPALL.BK","MINT.BK","SCB.BK","KBANK.BK","CPN.BK","AOT.BK"
"2006-12-15",22.6,2.775,3.3,10.1653,68,70.5,13.13,6.45
"2006-12-18",22.4,2.85,3.2,10.1653,67.5,70.5,12.88,6.45
"2006-12-19",18.6,2.575,2.725,8.84298,53.5,57.5,10.5,5.55
"2006-12-20",21.6,2.75,3.225,10.0826,61.5,64.5,12.05,6
"2006-12-21",20.6,2.75,3.025,10,58,62.5,11.65,6.05
"2006-12-22",21.200001,2.8,3.125,9.91736,59,62,11.5,6.1
"2006-12-25",21.200001,2.85,3.15,9.91736,59.5,62.5,12.1,6.05
"2006-12-26",21.200001,2.875,3.175,9.83471,60,63,12.05,6.1
"2006-12-27",21,2.85,3.225,9.75207,60,62.5,11.8,6.05
"2006-12-28",21,2.85,3.1,9.75207,58,62.5,11.55,5.95
"2006-12-29",21,2.85,3.125,9.83471,58,61.5,11.3,5.85
"2007-01-03",20.4,2.8,3.075,9.00826,56,60,10.4,5.55
"2007-01-04",20,2.725,3.05,8.76033,56,58,10.2,5.55
"2007-01-05",19.200001,2.65,2.975,8.76033,54,55,9.6,5.35
"2007-01-08",19.799999,2.675,2.925,8.67769,53,54.5,9.9,5.4
"2007-01-09",19.200001,2.65,2.925,8.18182,49.5,52.5,10,5.35
"2007-01-10",19.6,2.5,2.975,8.59504,52.5,54,10.3,5.45
"2007-01-11",20,2.5,2.75,8.92562,55,55,10.55,5.6
"2007-01-12",20.200001,2.5,3.05,8.92562,56.5,56.5,10.5,5.65
"2007-01-15",20.799999,2.55,3.025,9.17355,59,58.5,10.8,5.7
"2007-01-16",20.799999,2.44,3,8.84298,58.5,58.5,10.9,5.65
"2007-01-17",20.6,2.49,2.975,8.76033,59,59,10.95,5.55
"2007-01-18",20.6,2.55,3,8.84298,60,60,10.7,5.55
"2007-01-19",20.4,2.49,3,9.00826,60.5,61,10.8,5.45
"2007-01-22",20.4,2.46,2.975,9.00826,59,60.5,10.8,5.35
"2007-01-23",20.200001,2.42,2.975,9.09091,59,58.5,10.5,5.25
"2007-01-24",20.6,2.42,3,9.09091,60,60,10.55,5.15
"2007-01-25",20.6,2.48,2.95,9.2562,60,60.5,10.75,5.25
"2007-01-26",20.200001,2.525,2.925,9.2562,59.5,60,10.7,5
"2007-01-29",20.200001,2.525,2.875,9.2562,59.5,60,10.7,4.775
"2007-01-30",19.799999,2.525,2.85,8.92562,59,60,10.65,4.95
"2007-01-31",19.9,2.525,2.875,8.92562,59.5,59.5,10.8,5.05
"2007-02-01",19.799999,2.525,2.85,9.17355,60,60.5,10.75,5.3
"2007-02-02",20,2.65,2.9,9.42149,63.5,62.5,11.1,5.25
"2007-02-05",20,2.625,2.95,9.42149,63.5,63,11.2,5.25
"2007-02-06",20,2.6,2.9,9.42149,62.5,63,11,5.4
"2007-02-07",20.200001,2.55,2.9,9.58678,62.5,63,11.15,5.45
"2007-02-08",21,2.625,2.9,9.66942,65.5,65,11.6,5.55
"2007-02-09",21.4,2.55,2.925,9.66942,65.5,66,11.55,5.5
"2007-02-12",21.6,2.5,2.925,9.66942,66,66,11.75,5.6
"2007-02-13",21.200001,2.575,2.925,9.33884,66,65,12.2,5.6
"2007-02-14",21.200001,2.6,2.95,9.50413,67.5,66,12.45,5.55
