"","Date","TMBTM","SCBTMFPLUS","KFMTFI","TMBGF","KF-CINCOME","SCBSETFUND","ABG","ABSL","ABSM","JB25","ABWOOF"
"28","1/8/2556","12.6809","10.2278","13.4743","12.1307","10.1010","16.3697","105.8495","40.7104","38.7524","33.0413","10.8791"
"554","2/8/2556","12.6817","10.2285","13.4738","12.1352","10.1010","16.1725","104.7378","40.2940","38.2878","32.6683","10.9882"
"1266","5/8/2556","12.6840","10.2304","13.4817","12.1401","10.1010","16.2101","105.4311","40.5156","38.7480","32.7476","10.9881"
"1313","6/8/2556","12.6847","10.2310","13.4834","12.1979","10.1010","16.2942","105.8942","40.6706","39.0003","32.8898","10.9948"
"1361","7/8/2556","12.6855","10.2317","13.4856","12.1843","10.1010","16.3071","105.7851","40.5790","39.0696","32.8155","10.9399"
"1411","8/8/2556","12.6863","10.2323","13.4898","12.1268","10.1010","16.4536","106.3799","40.8497","39.4204","33.0089","10.9205"
"1464","9/8/2556","12.6870","10.2330","13.4940","12.1865","10.1010","16.3743","106.0248","40.7358","39.5231","32.7654","10.9841"
"215","13/8/2556","12.6900","10.2353","13.4960","12.2067","10.1010","16.6960","108.1836","41.6805","39.7930","33.4989","11.0091"
"259","14/8/2556","12.6908","10.2359","13.4960","12.1927","10.1010","16.7064","108.0226","41.6515","39.6729","33.6445","11.0740"
"304","15/8/2556","12.6916","10.2365","13.4979","12.1738","10.1010","16.6334","107.1498","41.3360","39.5693","33.3410","10.9072"
"354","16/8/2556","12.6923","10.2372","13.4969","12.1146","10.1010","16.5779","107.3923","41.4093","39.5295","33.1525","10.9072"
"505","19/8/2556","12.6946","10.2390","13.5010","12.1050","10.1010","16.0307","104.4542","40.2148","38.4663","32.0570","10.8968"
"605","20/8/2556","12.6954","10.2396","13.5046","12.0324","10.1010","15.7202","101.7588","39.1176","37.1658","31.5658","10.8998"
"655","21/8/2556","12.6962","10.2402","13.5057","12.0319","10.1010","15.5422","100.5471","38.5768","36.8858","31.0806","10.9282"
"704","22/8/2556","12.6969","10.2408","13.4942","11.9646","10.1010","15.5302","100.7392","38.6063","36.6702","31.1776","10.9274"
"751","23/8/2556","12.6976","10.2414","13.4967","11.9886","10.1010","15.3725","99.8312","38.2213","36.4855","30.7293","10.9714"
"902","26/8/2556","12.6999","10.2433","13.4998","12.0626","10.1010","15.2846","98.8187","37.8562","35.9680","30.5510","11.0414"
"953","27/8/2556","12.7006","10.2439","13.4918","12.0158","10.1010","14.8956","96.8459","37.1449","35.0538","30.0642","11.0246"
"1002","28/8/2556","12.7014","10.2445","13.4778","11.9327","10.1010","14.6884","96.7088","37.0917","34.8631","29.7219","10.9496"
"1049","29/8/2556","12.7021","10.2451","13.4704","11.9182","10.1010","14.8802","96.9303","37.2021","35.1306","30.1968","10.9647"
"1145","30/8/2556","12.7029","10.2457","13.4789","11.9398","10.1010","14.9031","97.3545","37.3149","35.4977","30.1202","10.9380"
"558","2/9/2556","12.7051","10.2476","13.4845","11.9396","10.1010","15.2485","99.6392","38.2484","36.2765","30.7614","11.0010"
"1105","3/9/2556","12.7059","10.2482","13.4902","12.0303","10.1010","15.1651","99.1740","38.0219","36.2447","30.6281","11.0115"
"1225","4/9/2556","12.7067","10.2487","13.4854","11.9903","10.1010","15.0240","98.4887","37.7271","36.0228","30.3100","11.0462"
"1270","5/9/2556","12.7074","10.2494","13.4819","12.0611","10.1010","15.1434","99.3294","38.1067","36.3366","30.6122","11.1665"
"1317","6/9/2556","12.7082","10.2501","13.4798","12.0111","10.1010","15.4234","100.7684","38.6671","36.6703","31.1571","11.2051"
"1468","9/9/2556","12.7105","10.2519","13.4844","12.0722","10.1010","15.9860","103.3855","39.8482","37.0948","32.6194","11.2049"
"78","10/9/2556","12.7113","10.2526","13.4878","12.1592","10.1010","16.0991","103.9878","40.1049","37.3452","32.8102","11.3363"
"126","11/9/2556","12.7120","10.2532","13.4905","12.2053","10.1010","16.3245","105.6407","40.7767","37.8805","33.1930","11.3378"
"173","12/9/2556","12.7128","10.2538","13.4955","12.2329","10.1010","16.1614","105.2583","40.5690","37.9396","32.6084","11.2937"
"218","13/9/2556","12.7135","10.2545","13.4948","12.1995","10.1010","16.2033","104.7171","40.3662","37.9150","32.5335","11.2932"
"358","16/9/2556","12.7158","10.2563","13.5001","12.1883","10.1010","16.7237","107.3673","41.5028","38.6698","33.6649","11.3366"
"409","17/9/2556","12.7166","10.2570","13.5014","12.2683","10.1010","16.7023","107.5582","41.5598","38.8038","33.6794","11.3585"
"459","18/9/2556","12.7173","10.2576","13.5057","12.2869","10.1010","16.6549","107.0826","41.3664","38.7451","33.4765","11.3753"
"509","19/9/2556","12.7181","10.2583","13.5227","12.3783","10.1010","17.2540","110.1083","42.5998","39.7854","34.6836","11.3378"
"609","20/9/2556","12.7189","10.2590","13.5275","12.4368","10.1010","17.2124","109.4589","42.3143","39.4817","34.6519","11.3216"
"755","23/9/2556","12.7211","10.2608","13.5253","12.3690","10.1010","16.6154","106.1873","40.9690","38.2920","33.5661","11.3216"
"804","24/9/2556","12.7219","10.2614","13.5363","12.3736","10.1010","16.3944","105.8003","40.7533","38.3049","33.0041","11.3066"
"855","25/9/2556","12.7226","10.2621","13.5372","12.3303","10.1010","16.6292","107.1747","41.2665","38.6533","33.4577","11.2925"
"906","26/9/2556","12.7234","10.2627","13.5356","12.2907","10.1010","16.4900","106.8388","41.0573","38.7319","33.1260","11.2056"
"957","27/9/2556","12.7241","10.2633","13.5327","12.2855","10.1010","16.4026","106.2071","40.8246","38.6870","32.9179","11.2600"
"1149","30/9/2556","12.7264","10.2652","13.5335","12.2276","10.1010","16.0034","103.5189","39.7625","37.9641","32.0130","11.1803"
"1","1/10/2556","12.7272","10.2659","13.5340","12.2278","10.1010","16.2971","104.9319","40.3491","38.3447","32.6845","11.2040"
"516","2/10/2556","12.7279","10.2665","13.5415","12.2704","10.1010","16.3108","105.3142","40.4590","38.5922","32.6079","11.2040"
"1061","3/10/2556","12.7287","10.2671","13.5417","12.2923","10.1010","16.5533","106.3479","40.8714","38.8652","33.0912","11.2121"
"1183","4/10/2556","12.7295","10.2678","13.5424","12.3002","10.1010","16.5409","105.9063","40.6494","38.7793","32.9985","11.1597"
"1325","7/10/2556","12.7317","10.2696","13.5479","12.3463","10.1010","16.3854","104.9644","40.3063","38.5540","32.6713","11.1384"
"1375","8/10/2556","12.7325","10.2702","13.5489","12.3266","10.1010","16.6176","106.6339","40.9474","39.0719","33.1955","11.1182"
"1425","9/10/2556","12.7332","10.2709","13.5501","12.2949","10.1010","16.6242","106.4111","40.8964","38.9800","33.1768","11.0838"
"41","10/10/2556","12.7340","10.2714","13.5516","12.3191","10.1010","16.8373","107.6108","41.4456","39.3096","33.5771","11.0953"
"86","11/10/2556","12.7348","10.2721","13.5549","12.3877","10.1010","16.9066","107.9981","41.6137","39.3995","33.6886","11.2084"
"226","14/10/2556","12.7370","10.2739","13.5601","12.4207","10.1010","16.9337","107.8679","41.5622","39.3670","33.7460","11.2801"
"272","15/10/2556","12.7378","10.2746","13.5626","12.4391","10.1010","17.0881","108.5303","41.8430","39.4577","34.0506","11.2801"
"318","16/10/2556","12.7386","10.2752","13.5645","12.4423","10.1010","16.9825","107.5509","41.4783","39.1433","33.7931","11.2682"
"366","17/10/2556","12.7393","10.2758","13.5706","12.5009","10.1010","17.0392","107.7293","41.5478","39.2818","33.9482","11.3217"
"417","18/10/2556","12.7402","10.2765","13.5767","12.5255","10.1010","17.2244","108.9360","42.0481","39.6608","34.2602","11.4005"
"617","21/10/2556","12.7425","10.2784","13.5786","12.5054","10.1010","16.7860","106.7520","41.1230","39.0244","33.4153","11.4034"
"669","22/10/2556","12.7432","10.2790","13.5781","12.4749","10.1010","16.8897","107.0546","41.2359","39.0470","33.6106","11.4933"
"763","24/10/2556","12.7448","10.2803","13.5860","12.5128","10.1010","16.9894","107.7730","41.5859","39.2682","33.8470","11.4933"
"812","25/10/2556","12.7455","10.2809","13.5880","12.4776","10.1010","16.8489","107.2224","41.3495","39.1911","33.5428","11.4513"
"965","28/10/2556","12.7478","10.2827","13.5915","12.5092","10.1010","16.7824","106.7966","41.1565","39.0585","33.4319","11.4703"
"1016","29/10/2556","12.7485","10.2834","13.5907","12.5036","10.1010","16.8581","107.2325","41.3224","39.2371","33.5504","11.4814"
"1114","30/10/2556","12.7493","10.2840","13.5937","12.4785","10.1010","16.5743","105.7653","40.7601","38.6344","33.0711","11.5636"
"1157","31/10/2556","12.7502","10.2847","13.5925","12.4834","10.1010","16.7095","106.3699","41.0760","38.6994","33.4545","11.4632"
"5","1/11/2556","12.7508","10.2853","13.5911","12.4267","10.1010","16.5464","105.3428","40.6431","38.3584","33.1174","11.4925"
"1187","4/11/2556","12.7531","10.2871","13.5911","12.4236","10.1010","16.0764","102.7657","39.6166","37.5003","32.2064","11.4925"
"1238","5/11/2556","12.7538","10.2878","13.5935","12.4536","10.1010","16.3893","104.5160","40.3184","38.2028","32.7436","11.4912"
"1283","6/11/2556","12.7546","10.2884","13.5941","12.4104","10.1010","16.6189","106.0360","40.8923","38.5228","33.2507","11.5085"
"1329","7/11/2556","12.7554","10.2891","13.5954","12.4158","10.1010","16.4991","105.0841","40.5262","38.2759","33.0032","11.5236"
"1379","8/11/2556","12.7561","10.2896","13.5954","12.3763","10.1010","16.2696","104.0132","40.1076","37.8990","32.4702","11.4027"
"90","11/11/2556","12.7585","10.2915","13.5942","12.4041","10.1010","16.2819","103.9671","40.0999","37.8396","32.5757","11.5431"
"139","12/11/2556","12.7592","10.2921","13.5964","12.3377","10.1010","16.3602","104.4817","40.3116","38.0637","32.6516","11.5150"
"185","13/11/2556","12.7600","10.2927","13.5960","12.3015","10.1010","16.2569","103.7474","39.9892","37.9818","32.3288","11.4371"
"230","14/11/2556","12.7608","10.2934","13.5958","12.3165","10.1010","16.3813","104.2166","40.1851","38.0511","32.6403","11.4714"
"275","15/11/2556","12.7616","10.2940","13.5974","12.3723","10.1010","16.4413","104.4875","40.2830","38.0614","32.7891","11.5784"
"421","18/11/2556","12.7639","10.2959","13.6001","12.4053","10.1010","16.4861","104.7300","40.4012","38.1755","32.9141","11.6865"
"472","19/11/2556","12.7647","10.2966","13.6012","12.4700","10.1010","16.3528","104.0835","40.1216","37.9932","32.5995","11.6648"
"570","20/11/2556","12.7654","10.2972","13.6001","12.4590","10.1010","16.2608","103.4982","39.8882","37.7939","32.4512","11.6391"
"621","21/11/2556","12.7662","10.2978","13.5988","12.4447","10.1010","15.9246","101.5254","39.0929","37.1767","31.7663","11.6217"
"673","22/11/2556","12.7670","10.2985","13.6001","12.4101","10.1010","15.7262","100.7619","38.7775","37.0962","31.2577","11.6407"
"816","25/11/2556","12.7693","10.3003","13.6009","12.4332","10.1010","15.6542","100.2461","38.5933","36.9083","31.1223","11.7554"
"867","26/11/2556","12.7701","10.3010","13.6046","12.4436","10.1010","15.7208","100.5154","38.7311","36.7972","31.2704","11.6993"
"919","27/11/2556","12.7709","10.3016","13.6389","12.4177","10.1010","15.8910","101.6049","39.1205","37.2118","31.6033","11.7153"
"969","28/11/2556","12.7721","10.3022","13.6437","12.4073","10.1010","15.7330","100.6255","38.7206","36.9619","31.2416","11.7382"
"1020","29/11/2556","12.7729","10.3029","13.6456","12.4203","10.1010","15.8762","101.0781","38.8984","37.0867","31.5228","11.7374"
"525","2/12/2556","12.7753","10.3048","13.6436","12.4166","10.1010","15.9021","101.2606","38.9734","36.9942","31.6376","11.7280"
"1070","3/12/2556","12.7760","10.3054","13.6445","12.4150","10.1010","16.0115","101.9438","39.2636","37.1603","31.8693","11.6520"
"1191","4/12/2556","12.7768","10.3061","13.6463","12.4040","10.1010","15.9253","101.6323","39.1184","37.1311","31.6549","11.5735"
"1288","6/12/2556","12.7783","10.3073","13.6472","12.4042","10.1010","15.7488","100.8019","38.7851","36.8960","31.3125","11.5735"
"1434","9/12/2556","12.7806","10.3092","13.6531","12.4637","10.1010","15.8118","100.9576","38.8343","36.9801","31.5032","11.3380"
"94","11/12/2556","12.7821","10.3104","13.6562","12.4851","10.1010","15.8307","101.3002","38.9628","36.9142","31.5520","11.3380"
"143","12/12/2556","12.7829","10.3111","13.6549","12.4409","10.1010","15.6718","100.4277","38.6436","36.7135","31.2420","11.3380"
"190","13/12/2556","12.7837","10.3117","13.6549","12.4465","10.1010","15.4907","99.6068","38.3164","36.5054","30.8549","11.2524"
"327","16/12/2556","12.7860","10.3137","13.6571","12.4661","10.1010","15.3382","98.9878","38.0992","36.2097","30.5800","11.2710"
"375","17/12/2556","12.7868","10.3144","13.6591","12.4819","10.1010","15.4375","99.5867","38.3660","36.2130","30.8800","11.3498"
"425","18/12/2556","12.7876","10.3150","13.6606","12.4889","10.1010","15.5802","100.3433","38.6639","36.3682","31.2591","11.4015"
"476","19/12/2556","12.7884","10.3157","13.6642","12.5326","10.1010","15.5511","100.1697","38.5512","36.5730","31.1533","11.5747"
"575","20/12/2556","12.7891","10.3164","13.6672","12.4864","10.1010","15.5014","99.8737","38.3970","36.4658","31.0862","11.6999"
"722","23/12/2556","12.7913","10.3182","13.6732","12.4729","10.1010","15.3057","99.4911","38.2215","36.3764","30.8511","11.7530"
"771","24/12/2556","12.7921","10.3188","13.6789","12.4908","10.1010","15.3095","99.5038","38.2276","36.3975","30.8683","12.0085"
"820","25/12/2556","12.7928","10.3195","13.6789","12.5031","10.1010","15.3704","99.8571","38.3896","36.4707","31.0117","12.0085"
"871","26/12/2556","12.7937","10.3201","13.6845","12.5049","10.1010","15.0869","98.3541","37.7614","36.1418","30.3683","12.0085"
"924","27/12/2556","12.7945","10.3207","13.6949","12.5122","10.1010","14.9636","97.9821","37.5417","36.1475","30.1062","12.0085"
"514","2/1/2557","12.7988","10.3243","13.7199","12.5412","10.1010","14.1804","92.7378","35.4814","34.5719","28.3704","12.0085"
"1058","3/1/2557","12.7995","10.3249","13.7255","12.5263","10.1010","14.0948","92.8699","35.5583","34.6487","28.3075","11.9187"
"1275","6/1/2557","12.8017","10.3267","13.7313","12.5502","10.1010","14.1944","93.7130","35.9335","34.6884","28.6398","11.9038"
"1321","7/1/2557","12.8024","10.3274","13.7314","12.5233","10.1010","14.5639","95.2198","36.5650","35.1537","29.5228","11.8904"
"1370","8/1/2557","12.8032","10.3281","13.7243","12.5393","10.1010","14.5061","95.0093","36.4899","34.8998","29.4779","11.8374"
"1420","9/1/2557","12.8040","10.3287","13.7246","12.5229","10.1010","14.5054","95.2247","36.5782","35.0167","29.5097","11.8374"
"37","10/1/2557","12.8047","10.3293","13.7264","12.5285","10.1010","14.4817","95.4086","36.6361","35.1607","29.4188","11.8471"
"178","13/1/2557","12.8069","10.3311","13.7346","12.5714","10.1010","14.8149","97.0561","37.3004","35.5370","30.1923","11.8730"
"222","14/1/2557","12.8077","10.3317","13.7363","12.5559","10.1010","14.9631","97.2377","37.3895","35.6858","30.3540","11.7081"
"267","15/1/2557","12.8084","10.3324","13.7431","12.5901","10.1010","14.7475","95.7743","36.7860","35.3452","29.7183","11.8003"
"313","16/1/2557","12.8092","10.3330","13.7473","12.5594","10.1010","15.0472","97.0579","37.3234","35.6745","30.2564","11.8606"
"362","17/1/2557","12.8101","10.3335","13.7496","12.5370","10.1010","14.9719","96.7893","37.2152","35.5584","30.1348","11.8547"
"562","20/1/2557","12.8122","10.3353","13.7597","12.5481","10.1010","14.8985","96.0819","36.9350","35.4179","29.9445","11.8360"
"613","21/1/2557","12.8129","10.3360","13.7546","12.5437","10.1010","14.9429","96.5626","37.1303","35.4777","30.0260","11.8341"
"664","22/1/2557","12.8137","10.3366","13.7535","12.5109","10.1010","14.9072","96.6659","37.1894","35.4685","29.9519","11.8749"
"713","23/1/2557","12.8143","10.3372","13.7538","12.4952","10.1010","15.1206","97.9443","37.7370","35.7197","30.5233","11.9103"
"759","24/1/2557","12.8150","10.3377","13.7562","12.3862","10.1010","15.1879","97.9408","37.7327","35.6828","30.6901","11.7843"
"911","27/1/2557","12.8172","10.3395","13.7583","12.3025","10.1010","14.8814","96.1421","36.9822","35.2589","30.0030","11.5592"
"961","28/1/2557","12.8179","10.3401","13.7580","12.3095","10.1010","14.6830","95.0583","36.5431","34.8919","29.4947","11.5201"
"1011","29/1/2557","12.8187","10.3407","13.7568","12.3695","10.1010","14.6707","95.3521","36.6628","34.9335","29.4411","11.5755"
"1109","30/1/2557","12.8194","10.3413","13.7563","12.2888","10.1010","14.5758","94.9027","36.4764","34.8761","29.2083","11.4951"
"1153","31/1/2557","12.8201","10.3420","13.7567","12.2899","10.1010","14.7017","95.1035","36.5690","34.9297","29.4847","11.1785"
"1074","3/2/2557","12.8222","10.3438","13.7591","12.2474","10.1010","14.9231","96.3752","37.0441","35.3764","29.9364","11.1785"
